Unnamed: 0,Week,Date,nevents,nstim 1,nstim 2,nstim 3,session_time,hours,overall freq
1,4,2019-01-30,1419876,446516,0,129746,19556,5.432222222222222,22.832685620781344
1,4,2019-01-31,760900,265905,0,48859,19315,5.365277777777778,13.766761584260937
1,7,2019-02-19,220018,15371,0,89463,19294,5.359444444444445,0.7966725406862237
1,7,2019-02-21,193453,26568,0,66193,18348,5.096666666666667,1.448005232177894
1,10,2019-03-11,1133401,81423,229696,0,22707,6.3075,13.701457700268639
1,10,2019-03-12,956973,100623,184450,0,20741,5.761388888888889,13.744419266187744
1,10,2019-03-14,850341,54847,128702,0,21127,5.868611111111111,8.687887537274577
1,12,2019-03-25,703734,75387,60802,0,21628,6.007777777777778,6.296883669317551
1,12,2019-03-26,601491,54339,43820,0,19351,5.375277777777778,5.072554389954008
1,12,2019-03-27,583194,54190,60673,0,21957,6.099166666666667,5.231270209955823
1,14,2019-04-08,925205,30093,129353,0,21560,5.988888888888889,7.3954545454545455
1,14,2019-04-10,877966,15414,110471,0,22153,6.153611111111111,5.682526068704013
1,14,2019-04-11,480144,7951,49056,0,13497,3.7491666666666665,4.2236793361487734
