,range,count,Frequency1
0,"(0, 60]",1675,27.916666666666668
1,"(60, 120]",2217,36.95
2,"(120, 180]",1,0.016666666666666666
3,"(180, 240]",437,7.283333333333333
4,"(240, 300]",11,0.18333333333333332
5,"(300, 360]",1262,21.033333333333335
6,"(360, 420]",1092,18.2
7,"(420, 480]",1403,23.383333333333333
8,"(480, 540]",1852,30.866666666666667
9,"(540, 600]",1172,19.533333333333335
10,"(600, 660]",1716,28.6
11,"(660, 720]",1524,25.4
12,"(720, 780]",353,5.883333333333334
13,"(780, 840]",905,15.083333333333334
14,"(840, 900]",2013,33.55
15,"(900, 960]",1340,22.333333333333332
16,"(960, 1020]",1825,30.416666666666668
17,"(1020, 1080]",910,15.166666666666666
18,"(1080, 1140]",182,3.033333333333333
19,"(1140, 1200]",127,2.1166666666666667
20,"(1200, 1260]",987,16.45
21,"(1260, 1320]",380,6.333333333333333
22,"(1320, 1380]",232,3.8666666666666667
23,"(1380, 1440]",1079,17.983333333333334
24,"(1440, 1500]",122,2.033333333333333
25,"(1500, 1560]",197,3.283333333333333
26,"(1560, 1620]",986,16.433333333333334
27,"(1620, 1680]",433,7.216666666666667
28,"(1680, 1740]",466,7.766666666666667
29,"(1740, 1800]",282,4.7
30,"(1800, 1860]",47,0.7833333333333333
31,"(1860, 1920]",1090,18.166666666666668
32,"(1920, 1980]",592,9.866666666666667
33,"(1980, 2040]",269,4.483333333333333
34,"(2040, 2100]",524,8.733333333333333
35,"(2100, 2160]",148,2.466666666666667
36,"(2160, 2220]",139,2.316666666666667
37,"(2220, 2280]",365,6.083333333333333
38,"(2280, 2340]",298,4.966666666666667
39,"(2340, 2400]",793,13.216666666666667
40,"(2400, 2460]",801,13.35
41,"(2460, 2520]",600,10.0
42,"(2520, 2580]",913,15.216666666666667
43,"(2580, 2640]",31,0.5166666666666667
44,"(2640, 2700]",335,5.583333333333333
45,"(2700, 2760]",245,4.083333333333333
46,"(2760, 2820]",661,11.016666666666667
47,"(2820, 2880]",1950,32.5
48,"(2880, 2940]",2590,43.166666666666664
49,"(2940, 3000]",1107,18.45
50,"(3000, 3060]",89,1.4833333333333334
51,"(3060, 3120]",119,1.9833333333333334
52,"(3120, 3180]",878,14.633333333333333
53,"(3180, 3240]",0,0.0
54,"(3240, 3300]",0,0.0
55,"(3300, 3360]",2,0.03333333333333333
56,"(3360, 3420]",1316,21.933333333333334
57,"(3420, 3480]",297,4.95
58,"(3480, 3540]",372,6.2
59,"(3540, 3600]",930,15.5
60,"(3600, 3660]",1874,31.233333333333334
61,"(3660, 3720]",2104,35.06666666666667
62,"(3720, 3780]",1551,25.85
63,"(3780, 3840]",1709,28.483333333333334
64,"(3840, 3900]",2461,41.016666666666666
65,"(3900, 3960]",1422,23.7
66,"(3960, 4020]",1159,19.316666666666666
67,"(4020, 4080]",55,0.9166666666666666
68,"(4080, 4140]",705,11.75
69,"(4140, 4200]",134,2.2333333333333334
70,"(4200, 4260]",566,9.433333333333334
71,"(4260, 4320]",432,7.2
72,"(4320, 4380]",831,13.85
73,"(4380, 4440]",1073,17.883333333333333
74,"(4440, 4500]",697,11.616666666666667
75,"(4500, 4560]",59,0.9833333333333333
76,"(4560, 4620]",320,5.333333333333333
77,"(4620, 4680]",279,4.65
78,"(4680, 4740]",0,0.0
79,"(4740, 4800]",0,0.0
80,"(4800, 4860]",51,0.85
81,"(4860, 4920]",0,0.0
82,"(4920, 4980]",82,1.3666666666666667
83,"(4980, 5040]",3,0.05
84,"(5040, 5100]",0,0.0
85,"(5100, 5160]",129,2.15
86,"(5160, 5220]",0,0.0
87,"(5220, 5280]",93,1.55
88,"(5280, 5340]",0,0.0
89,"(5340, 5400]",3,0.05
90,"(5400, 5460]",54,0.9
91,"(5460, 5520]",503,8.383333333333333
92,"(5520, 5580]",0,0.0
93,"(5580, 5640]",115,1.9166666666666667
94,"(5640, 5700]",51,0.85
95,"(5700, 5760]",0,0.0
96,"(5760, 5820]",3,0.05
97,"(5820, 5880]",0,0.0
98,"(5880, 5940]",8,0.13333333333333333
99,"(5940, 6000]",0,0.0
100,"(6000, 6060]",93,1.55
101,"(6060, 6120]",3,0.05
102,"(6120, 6180]",0,0.0
103,"(6180, 6240]",1005,16.75
104,"(6240, 6300]",1193,19.883333333333333
105,"(6300, 6360]",1062,17.7
106,"(6360, 6420]",1148,19.133333333333333
107,"(6420, 6480]",1452,24.2
108,"(6480, 6540]",932,15.533333333333333
109,"(6540, 6600]",476,7.933333333333334
110,"(6600, 6660]",799,13.316666666666666
111,"(6660, 6720]",388,6.466666666666667
112,"(6720, 6780]",290,4.833333333333333
113,"(6780, 6840]",637,10.616666666666667
114,"(6840, 6900]",1125,18.75
115,"(6900, 6960]",359,5.983333333333333
116,"(6960, 7020]",477,7.95
117,"(7020, 7080]",145,2.4166666666666665
118,"(7080, 7140]",302,5.033333333333333
119,"(7140, 7200]",239,3.9833333333333334
120,"(7200, 7260]",217,3.6166666666666667
121,"(7260, 7320]",1113,18.55
122,"(7320, 7380]",495,8.25
123,"(7380, 7440]",566,9.433333333333334
124,"(7440, 7500]",378,6.3
125,"(7500, 7560]",103,1.7166666666666666
126,"(7560, 7620]",0,0.0
127,"(7620, 7680]",81,1.35
128,"(7680, 7740]",690,11.5
129,"(7740, 7800]",1206,20.1
130,"(7800, 7860]",156,2.6
131,"(7860, 7920]",108,1.8
132,"(7920, 7980]",4,0.06666666666666667
133,"(7980, 8040]",0,0.0
134,"(8040, 8100]",380,6.333333333333333
135,"(8100, 8160]",447,7.45
136,"(8160, 8220]",354,5.9
137,"(8220, 8280]",544,9.066666666666666
138,"(8280, 8340]",969,16.15
139,"(8340, 8400]",1152,19.2
140,"(8400, 8460]",18,0.3
141,"(8460, 8520]",658,10.966666666666667
142,"(8520, 8580]",674,11.233333333333333
143,"(8580, 8640]",224,3.7333333333333334
144,"(8640, 8700]",268,4.466666666666667
145,"(8700, 8760]",53,0.8833333333333333
146,"(8760, 8820]",1141,19.016666666666666
147,"(8820, 8880]",30,0.5
148,"(8880, 8940]",0,0.0
149,"(8940, 9000]",58,0.9666666666666667
150,"(9000, 9060]",1450,24.166666666666668
151,"(9060, 9120]",1048,17.466666666666665
152,"(9120, 9180]",1180,19.666666666666668
153,"(9180, 9240]",1242,20.7
154,"(9240, 9300]",513,8.55
155,"(9300, 9360]",1594,26.566666666666666
156,"(9360, 9420]",1665,27.75
157,"(9420, 9480]",2177,36.28333333333333
158,"(9480, 9540]",1567,26.116666666666667
159,"(9540, 9600]",2213,36.88333333333333
160,"(9600, 9660]",1655,27.583333333333332
