,range2,count2,Frequency2
0,"(0, 60]",64,1.0666666666666667
1,"(60, 120]",72,1.2
2,"(120, 180]",52,0.8666666666666667
3,"(180, 240]",67,1.1166666666666667
4,"(240, 300]",29,0.48333333333333334
5,"(300, 360]",75,1.25
6,"(360, 420]",51,0.85
7,"(420, 480]",57,0.95
8,"(480, 540]",30,0.5
9,"(540, 600]",73,1.2166666666666666
10,"(600, 660]",10,0.16666666666666666
11,"(660, 720]",79,1.3166666666666667
12,"(720, 780]",27,0.45
13,"(780, 840]",12,0.2
14,"(840, 900]",0,0.0
15,"(900, 960]",11,0.18333333333333332
16,"(960, 1020]",17,0.2833333333333333
17,"(1020, 1080]",0,0.0
18,"(1080, 1140]",3,0.05
19,"(1140, 1200]",38,0.6333333333333333
20,"(1200, 1260]",21,0.35
21,"(1260, 1320]",8,0.13333333333333333
22,"(1320, 1380]",20,0.3333333333333333
23,"(1380, 1440]",24,0.4
24,"(1440, 1500]",1,0.016666666666666666
25,"(1500, 1560]",34,0.5666666666666667
26,"(1560, 1620]",80,1.3333333333333333
27,"(1620, 1680]",19,0.31666666666666665
28,"(1680, 1740]",48,0.8
29,"(1740, 1800]",92,1.5333333333333334
30,"(1800, 1860]",50,0.8333333333333334
31,"(1860, 1920]",35,0.5833333333333334
32,"(1920, 1980]",96,1.6
33,"(1980, 2040]",59,0.9833333333333333
34,"(2040, 2100]",52,0.8666666666666667
35,"(2100, 2160]",78,1.3
36,"(2160, 2220]",88,1.4666666666666666
37,"(2220, 2280]",66,1.1
38,"(2280, 2340]",65,1.0833333333333333
39,"(2340, 2400]",43,0.7166666666666667
40,"(2400, 2460]",44,0.7333333333333333
41,"(2460, 2520]",40,0.6666666666666666
42,"(2520, 2580]",78,1.3
43,"(2580, 2640]",35,0.5833333333333334
44,"(2640, 2700]",13,0.21666666666666667
45,"(2700, 2760]",97,1.6166666666666667
46,"(2760, 2820]",98,1.6333333333333333
47,"(2820, 2880]",21,0.35
48,"(2880, 2940]",2,0.03333333333333333
49,"(2940, 3000]",25,0.4166666666666667
50,"(3000, 3060]",69,1.15
51,"(3060, 3120]",173,2.8833333333333333
52,"(3120, 3180]",64,1.0666666666666667
53,"(3180, 3240]",118,1.9666666666666666
54,"(3240, 3300]",119,1.9833333333333334
55,"(3300, 3360]",40,0.6666666666666666
56,"(3360, 3420]",123,2.05
57,"(3420, 3480]",70,1.1666666666666667
58,"(3480, 3540]",16,0.26666666666666666
59,"(3540, 3600]",30,0.5
60,"(3600, 3660]",36,0.6
61,"(3660, 3720]",21,0.35
62,"(3720, 3780]",31,0.5166666666666667
63,"(3780, 3840]",78,1.3
64,"(3840, 3900]",50,0.8333333333333334
65,"(3900, 3960]",6,0.1
66,"(3960, 4020]",32,0.5333333333333333
67,"(4020, 4080]",50,0.8333333333333334
68,"(4080, 4140]",3,0.05
69,"(4140, 4200]",6,0.1
70,"(4200, 4260]",0,0.0
71,"(4260, 4320]",28,0.4666666666666667
72,"(4320, 4380]",6,0.1
73,"(4380, 4440]",23,0.38333333333333336
74,"(4440, 4500]",33,0.55
75,"(4500, 4560]",13,0.21666666666666667
76,"(4560, 4620]",16,0.26666666666666666
77,"(4620, 4680]",29,0.48333333333333334
78,"(4680, 4740]",9,0.15
79,"(4740, 4800]",1,0.016666666666666666
80,"(4800, 4860]",0,0.0
81,"(4860, 4920]",100,1.6666666666666667
82,"(4920, 4980]",22,0.36666666666666664
83,"(4980, 5040]",13,0.21666666666666667
84,"(5040, 5100]",313,5.216666666666667
85,"(5100, 5160]",84,1.4
86,"(5160, 5220]",76,1.2666666666666666
87,"(5220, 5280]",104,1.7333333333333334
88,"(5280, 5340]",42,0.7
89,"(5340, 5400]",83,1.3833333333333333
90,"(5400, 5460]",113,1.8833333333333333
91,"(5460, 5520]",172,2.8666666666666667
92,"(5520, 5580]",56,0.9333333333333333
93,"(5580, 5640]",12,0.2
94,"(5640, 5700]",102,1.7
95,"(5700, 5760]",113,1.8833333333333333
96,"(5760, 5820]",127,2.1166666666666667
97,"(5820, 5880]",117,1.95
98,"(5880, 5940]",104,1.7333333333333334
99,"(5940, 6000]",41,0.6833333333333333
100,"(6000, 6060]",39,0.65
101,"(6060, 6120]",22,0.36666666666666664
102,"(6120, 6180]",124,2.066666666666667
103,"(6180, 6240]",134,2.2333333333333334
104,"(6240, 6300]",122,2.033333333333333
105,"(6300, 6360]",45,0.75
106,"(6360, 6420]",53,0.8833333333333333
107,"(6420, 6480]",233,3.8833333333333333
108,"(6480, 6540]",147,2.45
