,range,count,Frequency1,range2,count2,Frequency2
0,"(0, 60]",237,3.95,"(0, 60]",84,1.4
1,"(60, 120]",263,4.383333333333334,"(60, 120]",183,3.05
2,"(120, 180]",235,3.9166666666666665,"(120, 180]",165,2.75
3,"(180, 240]",308,5.133333333333334,"(180, 240]",184,3.066666666666667
4,"(240, 300]",202,3.3666666666666667,"(240, 300]",98,1.6333333333333333
5,"(300, 360]",268,4.466666666666667,"(300, 360]",100,1.6666666666666667
6,"(360, 420]",324,5.4,"(360, 420]",125,2.0833333333333335
7,"(420, 480]",242,4.033333333333333,"(420, 480]",129,2.15
8,"(480, 540]",253,4.216666666666667,"(480, 540]",117,1.95
9,"(540, 600]",289,4.816666666666666,"(540, 600]",132,2.2
10,"(600, 660]",24,0.4,"(600, 660]",29,0.48333333333333334
11,"(660, 720]",162,2.7,"(660, 720]",143,2.3833333333333333
12,"(720, 780]",79,1.3166666666666667,"(720, 780]",43,0.7166666666666667
13,"(780, 840]",178,2.966666666666667,"(780, 840]",114,1.9
14,"(840, 900]",171,2.85,"(840, 900]",118,1.9666666666666666
15,"(900, 960]",393,6.55,"(900, 960]",176,2.933333333333333
16,"(960, 1020]",352,5.866666666666666,"(960, 1020]",88,1.4666666666666666
17,"(1020, 1080]",405,6.75,"(1020, 1080]",84,1.4
18,"(1080, 1140]",116,1.9333333333333333,"(1080, 1140]",71,1.1833333333333333
19,"(1140, 1200]",146,2.433333333333333,"(1140, 1200]",43,0.7166666666666667
20,"(1200, 1260]",280,4.666666666666667,"(1200, 1260]",100,1.6666666666666667
21,"(1260, 1320]",338,5.633333333333334,"(1260, 1320]",98,1.6333333333333333
22,"(1320, 1380]",406,6.766666666666667,"(1320, 1380]",34,0.5666666666666667
23,"(1380, 1440]",343,5.716666666666667,"(1380, 1440]",53,0.8833333333333333
24,"(1440, 1500]",199,3.316666666666667,"(1440, 1500]",85,1.4166666666666667
25,"(1500, 1560]",77,1.2833333333333334,"(1500, 1560]",87,1.45
26,"(1560, 1620]",269,4.483333333333333,"(1560, 1620]",190,3.1666666666666665
27,"(1620, 1680]",176,2.933333333333333,"(1620, 1680]",197,3.283333333333333
28,"(1680, 1740]",232,3.8666666666666667,"(1680, 1740]",135,2.25
29,"(1740, 1800]",185,3.0833333333333335,"(1740, 1800]",101,1.6833333333333333
30,"(1800, 1860]",1047,17.45,"(1800, 1860]",187,3.1166666666666667
31,"(1860, 1920]",1000,16.666666666666668,"(1860, 1920]",90,1.5
32,"(1920, 1980]",797,13.283333333333333,"(1920, 1980]",123,2.05
33,"(1980, 2040]",806,13.433333333333334,"(1980, 2040]",141,2.35
34,"(2040, 2100]",813,13.55,"(2040, 2100]",141,2.35
35,"(2100, 2160]",809,13.483333333333333,"(2100, 2160]",193,3.216666666666667
36,"(2160, 2220]",124,2.066666666666667,"(2160, 2220]",80,1.3333333333333333
37,"(2220, 2280]",75,1.25,"(2220, 2280]",46,0.7666666666666667
38,"(2280, 2340]",4,0.06666666666666667,"(2280, 2340]",9,0.15
39,"(2340, 2400]",56,0.9333333333333333,"(2340, 2400]",21,0.35
40,"(2400, 2460]",272,4.533333333333333,"(2400, 2460]",16,0.26666666666666666
41,"(2460, 2520]",426,7.1,"(2460, 2520]",128,2.1333333333333333
42,"(2520, 2580]",101,1.6833333333333333,"(2520, 2580]",15,0.25
43,"(2580, 2640]",195,3.25,"(2580, 2640]",103,1.7166666666666666
44,"(2640, 2700]",243,4.05,"(2640, 2700]",116,1.9333333333333333
45,"(2700, 2760]",2,0.03333333333333333,"(2700, 2760]",0,0.0
46,"(2760, 2820]",92,1.5333333333333334,"(2760, 2820]",56,0.9333333333333333
47,"(2820, 2880]",153,2.55,"(2820, 2880]",109,1.8166666666666667
48,"(2880, 2940]",270,4.5,"(2880, 2940]",73,1.2166666666666666
49,"(2940, 3000]",174,2.9,"(2940, 3000]",116,1.9333333333333333
50,"(3000, 3060]",269,4.483333333333333,"(3000, 3060]",80,1.3333333333333333
51,"(3060, 3120]",34,0.5666666666666667,"(3060, 3120]",18,0.3
52,"(3120, 3180]",218,3.6333333333333333,"(3120, 3180]",67,1.1166666666666667
53,"(3180, 3240]",25,0.4166666666666667,"(3180, 3240]",7,0.11666666666666667
54,"(3240, 3300]",235,3.9166666666666665,"(3240, 3300]",40,0.6666666666666666
55,"(3300, 3360]",122,2.033333333333333,"(3300, 3360]",148,2.466666666666667
56,"(3360, 3420]",184,3.066666666666667,"(3360, 3420]",105,1.75
57,"(3420, 3480]",519,8.65,"(3420, 3480]",189,3.15
58,"(3480, 3540]",289,4.816666666666666,"(3480, 3540]",291,4.85
59,"(3540, 3600]",433,7.216666666666667,"(3540, 3600]",227,3.783333333333333
60,"(3600, 3660]",458,7.633333333333334,"(3600, 3660]",210,3.5
61,"(3660, 3720]",196,3.2666666666666666,"(3660, 3720]",69,1.15
62,"(3720, 3780]",870,14.5,"(3720, 3780]",140,2.3333333333333335
63,"(3780, 3840]",64,1.0666666666666667,"(3780, 3840]",63,1.05
64,"(3840, 3900]",3,0.05,"(3840, 3900]",0,0.0
65,"(3900, 3960]",133,2.216666666666667,"(3900, 3960]",57,0.95
66,"(3960, 4020]",230,3.8333333333333335,"(3960, 4020]",88,1.4666666666666666
67,"(4020, 4080]",400,6.666666666666667,"(4020, 4080]",64,1.0666666666666667
68,"(4080, 4140]",16,0.26666666666666666,"(4080, 4140]",4,0.06666666666666667
69,"(4140, 4200]",3,0.05,"(4140, 4200]",0,0.0
70,"(4200, 4260]",94,1.5666666666666667,"(4200, 4260]",110,1.8333333333333333
71,"(4260, 4320]",119,1.9833333333333334,"(4260, 4320]",152,2.533333333333333
72,"(4320, 4380]",281,4.683333333333334,"(4320, 4380]",172,2.8666666666666667
73,"(4380, 4440]",285,4.75,"(4380, 4440]",174,2.9
74,"(4440, 4500]",83,1.3833333333333333,"(4440, 4500]",27,0.45
75,"(4500, 4560]",721,12.016666666666667,"(4500, 4560]",169,2.816666666666667
76,"(4560, 4620]",881,14.683333333333334,"(4560, 4620]",212,3.533333333333333
77,"(4620, 4680]",868,14.466666666666667,"(4620, 4680]",229,3.816666666666667
78,"(4680, 4740]",449,7.483333333333333,"(4680, 4740]",154,2.566666666666667
79,"(4740, 4800]",848,14.133333333333333,"(4740, 4800]",183,3.05
80,"(4800, 4860]",692,11.533333333333333,"(4800, 4860]",136,2.2666666666666666
81,"(4860, 4920]",533,8.883333333333333,"(4860, 4920]",140,2.3333333333333335
82,"(4920, 4980]",301,5.016666666666667,"(4920, 4980]",113,1.8833333333333333
83,"(4980, 5040]",551,9.183333333333334,"(4980, 5040]",77,1.2833333333333334
84,"(5040, 5100]",240,4.0,"(5040, 5100]",105,1.75
85,"(5100, 5160]",55,0.9166666666666666,"(5100, 5160]",28,0.4666666666666667
86,"(5160, 5220]",586,9.766666666666667,"(5160, 5220]",136,2.2666666666666666
87,"(5220, 5280]",291,4.85,"(5220, 5280]",80,1.3333333333333333
88,"(5280, 5340]",46,0.7666666666666667,"(5280, 5340]",9,0.15
