,range,count,Frequency1
0,"(0, 1]",26,26.0
1,"(1, 2]",26,26.0
2,"(2, 3]",26,26.0
3,"(3, 4]",34,34.0
4,"(4, 5]",25,25.0
5,"(5, 6]",35,35.0
6,"(6, 7]",29,29.0
7,"(7, 8]",32,32.0
8,"(8, 9]",30,30.0
9,"(9, 10]",32,32.0
10,"(10, 11]",35,35.0
11,"(11, 12]",36,36.0
12,"(12, 13]",28,28.0
13,"(13, 14]",27,27.0
14,"(14, 15]",29,29.0
15,"(15, 16]",28,28.0
16,"(16, 17]",35,35.0
17,"(17, 18]",25,25.0
18,"(18, 19]",36,36.0
19,"(19, 20]",31,31.0
20,"(20, 21]",33,33.0
21,"(21, 22]",35,35.0
22,"(22, 23]",39,39.0
23,"(23, 24]",43,43.0
24,"(24, 25]",42,42.0
25,"(25, 26]",38,38.0
26,"(26, 27]",36,36.0
27,"(27, 28]",39,39.0
28,"(28, 29]",47,47.0
29,"(29, 30]",34,34.0
30,"(30, 31]",37,37.0
31,"(31, 32]",39,39.0
32,"(32, 33]",38,38.0
33,"(33, 34]",30,30.0
34,"(34, 35]",35,35.0
35,"(35, 36]",31,31.0
36,"(36, 37]",32,32.0
37,"(37, 38]",35,35.0
38,"(38, 39]",36,36.0
39,"(39, 40]",40,40.0
40,"(40, 41]",30,30.0
41,"(41, 42]",27,27.0
42,"(42, 43]",29,29.0
43,"(43, 44]",31,31.0
44,"(44, 45]",33,33.0
45,"(45, 46]",27,27.0
46,"(46, 47]",24,24.0
47,"(47, 48]",29,29.0
48,"(48, 49]",31,31.0
49,"(49, 50]",32,32.0
50,"(50, 51]",32,32.0
51,"(51, 52]",33,33.0
52,"(52, 53]",33,33.0
53,"(53, 54]",34,34.0
54,"(54, 55]",24,24.0
55,"(55, 56]",37,37.0
56,"(56, 57]",34,34.0
57,"(57, 58]",33,33.0
58,"(58, 59]",33,33.0
59,"(59, 60]",41,41.0
60,"(60, 61]",31,31.0
61,"(61, 62]",32,32.0
62,"(62, 63]",31,31.0
63,"(63, 64]",32,32.0
64,"(64, 65]",27,27.0
65,"(65, 66]",30,30.0
66,"(66, 67]",23,23.0
67,"(67, 68]",28,28.0
68,"(68, 69]",23,23.0
69,"(69, 70]",26,26.0
70,"(70, 71]",25,25.0
71,"(71, 72]",8,8.0
72,"(72, 73]",3,3.0
73,"(73, 74]",11,11.0
74,"(74, 75]",12,12.0
75,"(75, 76]",9,9.0
76,"(76, 77]",9,9.0
77,"(77, 78]",8,8.0
78,"(78, 79]",9,9.0
79,"(79, 80]",9,9.0
80,"(80, 81]",7,7.0
81,"(81, 82]",14,14.0
82,"(82, 83]",12,12.0
83,"(83, 84]",10,10.0
84,"(84, 85]",7,7.0
85,"(85, 86]",9,9.0
86,"(86, 87]",17,17.0
87,"(87, 88]",14,14.0
88,"(88, 89]",13,13.0
89,"(89, 90]",18,18.0
90,"(90, 91]",16,16.0
91,"(91, 92]",21,21.0
92,"(92, 93]",13,13.0
93,"(93, 94]",12,12.0
94,"(94, 95]",18,18.0
95,"(95, 96]",15,15.0
96,"(96, 97]",9,9.0
97,"(97, 98]",5,5.0
98,"(98, 99]",10,10.0
99,"(99, 100]",5,5.0
100,"(100, 101]",13,13.0
101,"(101, 102]",18,18.0
102,"(102, 103]",8,8.0
103,"(103, 104]",8,8.0
104,"(104, 105]",11,11.0
105,"(105, 106]",14,14.0
106,"(106, 107]",10,10.0
107,"(107, 108]",11,11.0
108,"(108, 109]",10,10.0
109,"(109, 110]",8,8.0
110,"(110, 111]",8,8.0
111,"(111, 112]",5,5.0
112,"(112, 113]",7,7.0
113,"(113, 114]",10,10.0
114,"(114, 115]",9,9.0
115,"(115, 116]",6,6.0
116,"(116, 117]",16,16.0
117,"(117, 118]",32,32.0
118,"(118, 119]",30,30.0
119,"(119, 120]",21,21.0
120,"(120, 121]",14,14.0
121,"(121, 122]",18,18.0
122,"(122, 123]",18,18.0
123,"(123, 124]",25,25.0
124,"(124, 125]",22,22.0
125,"(125, 126]",12,12.0
126,"(126, 127]",14,14.0
127,"(127, 128]",17,17.0
128,"(128, 129]",5,5.0
129,"(129, 130]",9,9.0
130,"(130, 131]",12,12.0
131,"(131, 132]",6,6.0
132,"(132, 133]",6,6.0
133,"(133, 134]",11,11.0
134,"(134, 135]",7,7.0
135,"(135, 136]",5,5.0
136,"(136, 137]",6,6.0
