,range,count,Frequency1,range2,count2,Frequency2
0,"(0, 60]",381,6.35,"(0, 60]",194,3.2333333333333334
1,"(60, 120]",291,4.85,"(60, 120]",432,7.2
2,"(120, 180]",85,1.4166666666666667,"(120, 180]",86,1.4333333333333333
3,"(180, 240]",0,0.0,"(180, 240]",8,0.13333333333333333
4,"(240, 300]",255,4.25,"(240, 300]",167,2.783333333333333
5,"(300, 360]",58,0.9666666666666667,"(300, 360]",23,0.38333333333333336
6,"(360, 420]",127,2.1166666666666667,"(360, 420]",175,2.9166666666666665
7,"(420, 480]",33,0.55,"(420, 480]",49,0.8166666666666667
8,"(480, 540]",152,2.533333333333333,"(480, 540]",0,0.0
9,"(540, 600]",33,0.55,"(540, 600]",9,0.15
10,"(600, 660]",20,0.3333333333333333,"(600, 660]",31,0.5166666666666667
11,"(660, 720]",22,0.36666666666666664,"(660, 720]",47,0.7833333333333333
12,"(720, 780]",8,0.13333333333333333,"(720, 780]",26,0.43333333333333335
13,"(780, 840]",702,11.7,"(780, 840]",395,6.583333333333333
14,"(840, 900]",259,4.316666666666666,"(840, 900]",489,8.15
15,"(900, 960]",22,0.36666666666666664,"(900, 960]",28,0.4666666666666667
16,"(960, 1020]",18,0.3,"(960, 1020]",10,0.16666666666666666
17,"(1020, 1080]",68,1.1333333333333333,"(1020, 1080]",10,0.16666666666666666
18,"(1080, 1140]",105,1.75,"(1080, 1140]",32,0.5333333333333333
19,"(1140, 1200]",49,0.8166666666666667,"(1140, 1200]",19,0.31666666666666665
20,"(1200, 1260]",138,2.3,"(1200, 1260]",589,9.816666666666666
21,"(1260, 1320]",18,0.3,"(1260, 1320]",29,0.48333333333333334
22,"(1320, 1380]",6,0.1,"(1320, 1380]",12,0.2
23,"(1380, 1440]",104,1.7333333333333334,"(1380, 1440]",137,2.283333333333333
24,"(1440, 1500]",84,1.4,"(1440, 1500]",112,1.8666666666666667
25,"(1500, 1560]",69,1.15,"(1500, 1560]",114,1.9
26,"(1560, 1620]",117,1.95,"(1560, 1620]",54,0.9
27,"(1620, 1680]",79,1.3166666666666667,"(1620, 1680]",75,1.25
28,"(1680, 1740]",41,0.6833333333333333,"(1680, 1740]",38,0.6333333333333333
29,"(1740, 1800]",21,0.35,"(1740, 1800]",0,0.0
30,"(1800, 1860]",102,1.7,"(1800, 1860]",69,1.15
31,"(1860, 1920]",272,4.533333333333333,"(1860, 1920]",360,6.0
32,"(1920, 1980]",26,0.43333333333333335,"(1920, 1980]",33,0.55
33,"(1980, 2040]",1,0.016666666666666666,"(1980, 2040]",2,0.03333333333333333
34,"(2040, 2100]",3,0.05,"(2040, 2100]",112,1.8666666666666667
35,"(2100, 2160]",1,0.016666666666666666,"(2100, 2160]",2,0.03333333333333333
36,"(2160, 2220]",2,0.03333333333333333,"(2160, 2220]",0,0.0
37,"(2220, 2280]",0,0.0,"(2220, 2280]",0,0.0
38,"(2280, 2340]",1,0.016666666666666666,"(2280, 2340]",0,0.0
39,"(2340, 2400]",0,0.0,"(2340, 2400]",1,0.016666666666666666
40,"(2400, 2460]",0,0.0,"(2400, 2460]",0,0.0
41,"(2460, 2520]",0,0.0,"(2460, 2520]",3,0.05
42,"(2520, 2580]",0,0.0,"(2520, 2580]",0,0.0
43,"(2580, 2640]",95,1.5833333333333333,"(2580, 2640]",312,5.2
44,"(2640, 2700]",86,1.4333333333333333,"(2640, 2700]",419,6.983333333333333
45,"(2700, 2760]",155,2.5833333333333335,"(2700, 2760]",151,2.5166666666666666
46,"(2760, 2820]",177,2.95,"(2760, 2820]",524,8.733333333333333
47,"(2820, 2880]",6,0.1,"(2820, 2880]",96,1.6
48,"(2880, 2940]",357,5.95,"(2880, 2940]",398,6.633333333333334
49,"(2940, 3000]",219,3.65,"(2940, 3000]",18,0.3
50,"(3000, 3060]",176,2.933333333333333,"(3000, 3060]",196,3.2666666666666666
51,"(3060, 3120]",5,0.08333333333333333,"(3060, 3120]",88,1.4666666666666666
52,"(3120, 3180]",65,1.0833333333333333,"(3120, 3180]",161,2.683333333333333
53,"(3180, 3240]",347,5.783333333333333,"(3180, 3240]",627,10.45
54,"(3240, 3300]",161,2.683333333333333,"(3240, 3300]",215,3.5833333333333335
55,"(3300, 3360]",31,0.5166666666666667,"(3300, 3360]",65,1.0833333333333333
56,"(3360, 3420]",998,16.633333333333333,"(3360, 3420]",584,9.733333333333333
57,"(3420, 3480]",1689,28.15,"(3420, 3480]",1393,23.216666666666665
58,"(3480, 3540]",1679,27.983333333333334,"(3480, 3540]",1065,17.75
59,"(3540, 3600]",1428,23.8,"(3540, 3600]",1239,20.65
60,"(3600, 3660]",27,0.45,"(3600, 3660]",18,0.3
61,"(3660, 3720]",22,0.36666666666666664,"(3660, 3720]",89,1.4833333333333334
62,"(3720, 3780]",1,0.016666666666666666,"(3720, 3780]",11,0.18333333333333332
63,"(3780, 3840]",0,0.0,"(3780, 3840]",8,0.13333333333333333
64,"(3840, 3900]",198,3.3,"(3840, 3900]",213,3.55
65,"(3900, 3960]",15,0.25,"(3900, 3960]",9,0.15
66,"(3960, 4020]",34,0.5666666666666667,"(3960, 4020]",41,0.6833333333333333
67,"(4020, 4080]",21,0.35,"(4020, 4080]",54,0.9
68,"(4080, 4140]",82,1.3666666666666667,"(4080, 4140]",33,0.55
69,"(4140, 4200]",10,0.16666666666666666,"(4140, 4200]",96,1.6
70,"(4200, 4260]",66,1.1,"(4200, 4260]",79,1.3166666666666667
71,"(4260, 4320]",1,0.016666666666666666,"(4260, 4320]",2,0.03333333333333333
72,"(4320, 4380]",22,0.36666666666666664,"(4320, 4380]",2,0.03333333333333333
73,"(4380, 4440]",239,3.9833333333333334,"(4380, 4440]",5,0.08333333333333333
74,"(4440, 4500]",0,0.0,"(4440, 4500]",0,0.0
75,"(4500, 4560]",4,0.06666666666666667,"(4500, 4560]",0,0.0
76,"(4560, 4620]",12,0.2,"(4560, 4620]",1,0.016666666666666666
77,"(4620, 4680]",20,0.3333333333333333,"(4620, 4680]",1,0.016666666666666666
78,"(4680, 4740]",215,3.5833333333333335,"(4680, 4740]",5,0.08333333333333333
79,"(4740, 4800]",60,1.0,"(4740, 4800]",0,0.0
80,"(4800, 4860]",84,1.4,"(4800, 4860]",9,0.15
81,"(4860, 4920]",100,1.6666666666666667,"(4860, 4920]",2,0.03333333333333333
82,"(4920, 4980]",0,0.0,"(4920, 4980]",0,0.0
83,"(4980, 5040]",85,1.4166666666666667,"(4980, 5040]",51,0.85
84,"(5040, 5100]",0,0.0,"(5040, 5100]",0,0.0
85,"(5100, 5160]",106,1.7666666666666666,"(5100, 5160]",115,1.9166666666666667
86,"(5160, 5220]",216,3.6,"(5160, 5220]",119,1.9833333333333334
87,"(5220, 5280]",187,3.1166666666666667,"(5220, 5280]",175,2.9166666666666665
88,"(5280, 5340]",43,0.7166666666666667,"(5280, 5340]",82,1.3666666666666667
89,"(5340, 5400]",0,0.0,"(5340, 5400]",0,0.0
90,"(5400, 5460]",0,0.0,"(5400, 5460]",0,0.0
91,"(5460, 5520]",0,0.0,"(5460, 5520]",0,0.0
92,"(5520, 5580]",0,0.0,"(5520, 5580]",1,0.016666666666666666
93,"(5580, 5640]",0,0.0,"(5580, 5640]",0,0.0
94,"(5640, 5700]",0,0.0,"(5640, 5700]",0,0.0
95,"(5700, 5760]",0,0.0,"(5700, 5760]",0,0.0
96,"(5760, 5820]",0,0.0,"(5760, 5820]",0,0.0
97,"(5820, 5880]",0,0.0,"(5820, 5880]",0,0.0
98,"(5880, 5940]",125,2.0833333333333335,"(5880, 5940]",172,2.8666666666666667
99,"(5940, 6000]",109,1.8166666666666667,"(5940, 6000]",5,0.08333333333333333
100,"(6000, 6060]",558,9.3,"(6000, 6060]",450,7.5
101,"(6060, 6120]",221,3.683333333333333,"(6060, 6120]",436,7.266666666666667
102,"(6120, 6180]",288,4.8,"(6120, 6180]",287,4.783333333333333
103,"(6180, 6240]",206,3.433333333333333,"(6180, 6240]",90,1.5
104,"(6240, 6300]",52,0.8666666666666667,"(6240, 6300]",36,0.6
105,"(6300, 6360]",0,0.0,"(6300, 6360]",0,0.0
106,"(6360, 6420]",15,0.25,"(6360, 6420]",15,0.25
107,"(6420, 6480]",334,5.566666666666666,"(6420, 6480]",116,1.9333333333333333
108,"(6480, 6540]",308,5.133333333333334,"(6480, 6540]",244,4.066666666666666
109,"(6540, 6600]",412,6.866666666666666,"(6540, 6600]",513,8.55
110,"(6600, 6660]",115,1.9166666666666667,"(6600, 6660]",85,1.4166666666666667
111,"(6660, 6720]",0,0.0,"(6660, 6720]",5,0.08333333333333333
112,"(6720, 6780]",91,1.5166666666666666,"(6720, 6780]",23,0.38333333333333336
113,"(6780, 6840]",31,0.5166666666666667,"(6780, 6840]",0,0.0
114,"(6840, 6900]",0,0.0,"(6840, 6900]",8,0.13333333333333333
115,"(6900, 6960]",0,0.0,"(6900, 6960]",0,0.0
116,"(6960, 7020]",13,0.21666666666666667,"(6960, 7020]",92,1.5333333333333334
117,"(7020, 7080]",27,0.45,"(7020, 7080]",4,0.06666666666666667
118,"(7080, 7140]",62,1.0333333333333334,"(7080, 7140]",68,1.1333333333333333
119,"(7140, 7200]",11,0.18333333333333332,"(7140, 7200]",15,0.25
120,"(7200, 7260]",4,0.06666666666666667,"(7200, 7260]",2,0.03333333333333333
121,"(7260, 7320]",400,6.666666666666667,"(7260, 7320]",344,5.733333333333333
122,"(7320, 7380]",243,4.05,"(7320, 7380]",308,5.133333333333334
123,"(7380, 7440]",777,12.95,"(7380, 7440]",626,10.433333333333334
124,"(7440, 7500]",148,2.466666666666667,"(7440, 7500]",151,2.5166666666666666
125,"(7500, 7560]",17,0.2833333333333333,"(7500, 7560]",11,0.18333333333333332
126,"(7560, 7620]",23,0.38333333333333336,"(7560, 7620]",11,0.18333333333333332
127,"(7620, 7680]",29,0.48333333333333334,"(7620, 7680]",59,0.9833333333333333
128,"(7680, 7740]",0,0.0,"(7680, 7740]",0,0.0
129,"(7740, 7800]",0,0.0,"(7740, 7800]",0,0.0
130,"(7800, 7860]",4,0.06666666666666667,"(7800, 7860]",0,0.0
131,"(7860, 7920]",0,0.0,"(7860, 7920]",0,0.0
132,"(7920, 7980]",0,0.0,"(7920, 7980]",0,0.0
133,"(7980, 8040]",30,0.5,"(7980, 8040]",212,3.533333333333333
134,"(8040, 8100]",93,1.55,"(8040, 8100]",62,1.0333333333333334
135,"(8100, 8160]",96,1.6,"(8100, 8160]",10,0.16666666666666666
136,"(8160, 8220]",84,1.4,"(8160, 8220]",53,0.8833333333333333
137,"(8220, 8280]",232,3.8666666666666667,"(8220, 8280]",238,3.966666666666667
138,"(8280, 8340]",64,1.0666666666666667,"(8280, 8340]",90,1.5
139,"(8340, 8400]",82,1.3666666666666667,"(8340, 8400]",5,0.08333333333333333
140,"(8400, 8460]",499,8.316666666666666,"(8400, 8460]",523,8.716666666666667
141,"(8460, 8520]",260,4.333333333333333,"(8460, 8520]",208,3.466666666666667
142,"(8520, 8580]",31,0.5166666666666667,"(8520, 8580]",9,0.15
143,"(8580, 8640]",218,3.6333333333333333,"(8580, 8640]",676,11.266666666666667
144,"(8640, 8700]",772,12.866666666666667,"(8640, 8700]",187,3.1166666666666667
145,"(8700, 8760]",71,1.1833333333333333,"(8700, 8760]",77,1.2833333333333334
146,"(8760, 8820]",103,1.7166666666666666,"(8760, 8820]",161,2.683333333333333
147,"(8820, 8880]",88,1.4666666666666666,"(8820, 8880]",67,1.1166666666666667
148,"(8880, 8940]",184,3.066666666666667,"(8880, 8940]",176,2.933333333333333
149,"(8940, 9000]",235,3.9166666666666665,"(8940, 9000]",245,4.083333333333333
150,"(9000, 9060]",92,1.5333333333333334,"(9000, 9060]",125,2.0833333333333335
151,"(9060, 9120]",21,0.35,"(9060, 9120]",61,1.0166666666666666
152,"(9120, 9180]",10,0.16666666666666666,"(9120, 9180]",9,0.15
153,"(9180, 9240]",1,0.016666666666666666,"(9180, 9240]",8,0.13333333333333333
154,"(9240, 9300]",21,0.35,"(9240, 9300]",12,0.2
155,"(9300, 9360]",58,0.9666666666666667,"(9300, 9360]",61,1.0166666666666666
156,"(9360, 9420]",50,0.8333333333333334,"(9360, 9420]",104,1.7333333333333334
157,"(9420, 9480]",6,0.1,"(9420, 9480]",5,0.08333333333333333
158,"(9480, 9540]",312,5.2,"(9480, 9540]",223,3.716666666666667
159,"(9540, 9600]",0,0.0,"(9540, 9600]",128,2.1333333333333333
160,"(9600, 9660]",0,0.0,"(9600, 9660]",11,0.18333333333333332
161,"(9660, 9720]",0,0.0,"(9660, 9720]",0,0.0
162,"(9720, 9780]",0,0.0,"(9720, 9780]",0,0.0
163,"(9780, 9840]",237,3.95,"(9780, 9840]",274,4.566666666666666
164,"(9840, 9900]",0,0.0,"(9840, 9900]",373,6.216666666666667
165,"(9900, 9960]",406,6.766666666666667,"(9900, 9960]",498,8.3
166,"(9960, 10020]",205,3.4166666666666665,"(9960, 10020]",450,7.5
167,"(10020, 10080]",184,3.066666666666667,"(10020, 10080]",218,3.6333333333333333
168,"(10080, 10140]",101,1.6833333333333333,"(10080, 10140]",99,1.65
169,"(10140, 10200]",92,1.5333333333333334,"(10140, 10200]",1,0.016666666666666666
170,"(10200, 10260]",245,4.083333333333333,"(10200, 10260]",9,0.15
171,"(10260, 10320]",123,2.05,"(10260, 10320]",40,0.6666666666666666
172,"(10320, 10380]",82,1.3666666666666667,"(10320, 10380]",245,4.083333333333333
173,"(10380, 10440]",226,3.7666666666666666,"(10380, 10440]",331,5.516666666666667
174,"(10440, 10500]",62,1.0333333333333334,"(10440, 10500]",36,0.6
175,"(10500, 10560]",15,0.25,"(10500, 10560]",13,0.21666666666666667
176,"(10560, 10620]",22,0.36666666666666664,"(10560, 10620]",32,0.5333333333333333
177,"(10620, 10680]",24,0.4,"(10620, 10680]",4,0.06666666666666667
178,"(10680, 10740]",68,1.1333333333333333,"(10680, 10740]",2,0.03333333333333333
179,"(10740, 10800]",8,0.13333333333333333,"(10740, 10800]",0,0.0
180,"(10800, 10860]",0,0.0,"(10800, 10860]",0,0.0
181,"(10860, 10920]",2,0.03333333333333333,"(10860, 10920]",0,0.0
182,"(10920, 10980]",0,0.0,"(10920, 10980]",0,0.0
183,"(10980, 11040]",0,0.0,"(10980, 11040]",13,0.21666666666666667
184,"(11040, 11100]",140,2.3333333333333335,"(11040, 11100]",400,6.666666666666667
185,"(11100, 11160]",3,0.05,"(11100, 11160]",0,0.0
186,"(11160, 11220]",11,0.18333333333333332,"(11160, 11220]",36,0.6
187,"(11220, 11280]",0,0.0,"(11220, 11280]",0,0.0
188,"(11280, 11340]",0,0.0,"(11280, 11340]",6,0.1
189,"(11340, 11400]",117,1.95,"(11340, 11400]",15,0.25
190,"(11400, 11460]",0,0.0,"(11400, 11460]",0,0.0
191,"(11460, 11520]",24,0.4,"(11460, 11520]",11,0.18333333333333332
192,"(11520, 11580]",0,0.0,"(11520, 11580]",0,0.0
193,"(11580, 11640]",274,4.566666666666666,"(11580, 11640]",165,2.75
194,"(11640, 11700]",390,6.5,"(11640, 11700]",94,1.5666666666666667
195,"(11700, 11760]",967,16.116666666666667,"(11700, 11760]",516,8.6
196,"(11760, 11820]",1474,24.566666666666666,"(11760, 11820]",1076,17.933333333333334
197,"(11820, 11880]",1153,19.216666666666665,"(11820, 11880]",774,12.9
198,"(11880, 11940]",1207,20.116666666666667,"(11880, 11940]",720,12.0
199,"(11940, 12000]",870,14.5,"(11940, 12000]",485,8.083333333333334
200,"(12000, 12060]",501,8.35,"(12000, 12060]",427,7.116666666666666
201,"(12060, 12120]",792,13.2,"(12060, 12120]",339,5.65
202,"(12120, 12180]",200,3.3333333333333335,"(12120, 12180]",133,2.216666666666667
203,"(12180, 12240]",1763,29.383333333333333,"(12180, 12240]",1295,21.583333333333332
204,"(12240, 12300]",1378,22.966666666666665,"(12240, 12300]",1272,21.2
205,"(12300, 12360]",264,4.4,"(12300, 12360]",107,1.7833333333333334
206,"(12360, 12420]",165,2.75,"(12360, 12420]",495,8.25
207,"(12420, 12480]",703,11.716666666666667,"(12420, 12480]",492,8.2
208,"(12480, 12540]",402,6.7,"(12480, 12540]",375,6.25
209,"(12540, 12600]",183,3.05,"(12540, 12600]",493,8.216666666666667
210,"(12600, 12660]",225,3.75,"(12600, 12660]",126,2.1
211,"(12660, 12720]",55,0.9166666666666666,"(12660, 12720]",79,1.3166666666666667
212,"(12720, 12780]",0,0.0,"(12720, 12780]",1,0.016666666666666666
213,"(12780, 12840]",83,1.3833333333333333,"(12780, 12840]",76,1.2666666666666666
214,"(12840, 12900]",196,3.2666666666666666,"(12840, 12900]",233,3.8833333333333333
215,"(12900, 12960]",200,3.3333333333333335,"(12900, 12960]",167,2.783333333333333
216,"(12960, 13020]",69,1.15,"(12960, 13020]",3,0.05
217,"(13020, 13080]",87,1.45,"(13020, 13080]",28,0.4666666666666667
218,"(13080, 13140]",83,1.3833333333333333,"(13080, 13140]",164,2.7333333333333334
219,"(13140, 13200]",74,1.2333333333333334,"(13140, 13200]",144,2.4
220,"(13200, 13260]",26,0.43333333333333335,"(13200, 13260]",12,0.2
221,"(13260, 13320]",61,1.0166666666666666,"(13260, 13320]",48,0.8
222,"(13320, 13380]",77,1.2833333333333334,"(13320, 13380]",81,1.35
223,"(13380, 13440]",39,0.65,"(13380, 13440]",515,8.583333333333334
224,"(13440, 13500]",65,1.0833333333333333,"(13440, 13500]",286,4.766666666666667
225,"(13500, 13560]",205,3.4166666666666665,"(13500, 13560]",1,0.016666666666666666
226,"(13560, 13620]",144,2.4,"(13560, 13620]",12,0.2
227,"(13620, 13680]",137,2.283333333333333,"(13620, 13680]",1,0.016666666666666666
228,"(13680, 13740]",55,0.9166666666666666,"(13680, 13740]",0,0.0
229,"(13740, 13800]",173,2.8833333333333333,"(13740, 13800]",0,0.0
230,"(13800, 13860]",9,0.15,"(13800, 13860]",1,0.016666666666666666
231,"(13860, 13920]",6,0.1,"(13860, 13920]",2,0.03333333333333333
232,"(13920, 13980]",0,0.0,"(13920, 13980]",0,0.0
233,"(13980, 14040]",2,0.03333333333333333,"(13980, 14040]",7,0.11666666666666667
234,"(14040, 14100]",0,0.0,"(14040, 14100]",0,0.0
235,"(14100, 14160]",2,0.03333333333333333,"(14100, 14160]",1,0.016666666666666666
236,"(14160, 14220]",0,0.0,"(14160, 14220]",0,0.0
237,"(14220, 14280]",55,0.9166666666666666,"(14220, 14280]",42,0.7
238,"(14280, 14340]",0,0.0,"(14280, 14340]",0,0.0
239,"(14340, 14400]",110,1.8333333333333333,"(14340, 14400]",354,5.9
240,"(14400, 14460]",315,5.25,"(14400, 14460]",330,5.5
241,"(14460, 14520]",200,3.3333333333333335,"(14460, 14520]",278,4.633333333333334
242,"(14520, 14580]",66,1.1,"(14520, 14580]",120,2.0
243,"(14580, 14640]",66,1.1,"(14580, 14640]",130,2.1666666666666665
244,"(14640, 14700]",22,0.36666666666666664,"(14640, 14700]",0,0.0
245,"(14700, 14760]",43,0.7166666666666667,"(14700, 14760]",19,0.31666666666666665
246,"(14760, 14820]",250,4.166666666666667,"(14760, 14820]",250,4.166666666666667
247,"(14820, 14880]",110,1.8333333333333333,"(14820, 14880]",332,5.533333333333333
248,"(14880, 14940]",302,5.033333333333333,"(14880, 14940]",375,6.25
249,"(14940, 15000]",64,1.0666666666666667,"(14940, 15000]",80,1.3333333333333333
250,"(15000, 15060]",210,3.5,"(15000, 15060]",77,1.2833333333333334
251,"(15060, 15120]",348,5.8,"(15060, 15120]",231,3.85
252,"(15120, 15180]",367,6.116666666666666,"(15120, 15180]",258,4.3
253,"(15180, 15240]",50,0.8333333333333334,"(15180, 15240]",314,5.233333333333333
254,"(15240, 15300]",47,0.7833333333333333,"(15240, 15300]",234,3.9
255,"(15300, 15360]",45,0.75,"(15300, 15360]",68,1.1333333333333333
256,"(15360, 15420]",252,4.2,"(15360, 15420]",273,4.55
257,"(15420, 15480]",806,13.433333333333334,"(15420, 15480]",188,3.1333333333333333
258,"(15480, 15540]",34,0.5666666666666667,"(15480, 15540]",102,1.7
259,"(15540, 15600]",35,0.5833333333333334,"(15540, 15600]",44,0.7333333333333333
260,"(15600, 15660]",77,1.2833333333333334,"(15600, 15660]",189,3.15
261,"(15660, 15720]",79,1.3166666666666667,"(15660, 15720]",151,2.5166666666666666
262,"(15720, 15780]",1,0.016666666666666666,"(15720, 15780]",4,0.06666666666666667
263,"(15780, 15840]",0,0.0,"(15780, 15840]",0,0.0
264,"(15840, 15900]",0,0.0,"(15840, 15900]",0,0.0
265,"(15900, 15960]",1,0.016666666666666666,"(15900, 15960]",0,0.0
266,"(15960, 16020]",3,0.05,"(15960, 16020]",2,0.03333333333333333
267,"(16020, 16080]",0,0.0,"(16020, 16080]",2,0.03333333333333333
268,"(16080, 16140]",1,0.016666666666666666,"(16080, 16140]",10,0.16666666666666666
269,"(16140, 16200]",2,0.03333333333333333,"(16140, 16200]",17,0.2833333333333333
270,"(16200, 16260]",48,0.8,"(16200, 16260]",59,0.9833333333333333
271,"(16260, 16320]",2,0.03333333333333333,"(16260, 16320]",0,0.0
272,"(16320, 16380]",113,1.8833333333333333,"(16320, 16380]",23,0.38333333333333336
273,"(16380, 16440]",32,0.5333333333333333,"(16380, 16440]",38,0.6333333333333333
274,"(16440, 16500]",202,3.3666666666666667,"(16440, 16500]",75,1.25
275,"(16500, 16560]",156,2.6,"(16500, 16560]",295,4.916666666666667
276,"(16560, 16620]",90,1.5,"(16560, 16620]",152,2.533333333333333
277,"(16620, 16680]",224,3.7333333333333334,"(16620, 16680]",82,1.3666666666666667
278,"(16680, 16740]",114,1.9,"(16680, 16740]",71,1.1833333333333333
279,"(16740, 16800]",82,1.3666666666666667,"(16740, 16800]",83,1.3833333333333333
280,"(16800, 16860]",56,0.9333333333333333,"(16800, 16860]",77,1.2833333333333334
281,"(16860, 16920]",340,5.666666666666667,"(16860, 16920]",395,6.583333333333333
282,"(16920, 16980]",525,8.75,"(16920, 16980]",288,4.8
283,"(16980, 17040]",11,0.18333333333333332,"(16980, 17040]",109,1.8166666666666667
284,"(17040, 17100]",93,1.55,"(17040, 17100]",130,2.1666666666666665
285,"(17100, 17160]",322,5.366666666666666,"(17100, 17160]",185,3.0833333333333335
286,"(17160, 17220]",211,3.5166666666666666,"(17160, 17220]",99,1.65
287,"(17220, 17280]",83,1.3833333333333333,"(17220, 17280]",3,0.05
288,"(17280, 17340]",221,3.683333333333333,"(17280, 17340]",262,4.366666666666666
289,"(17340, 17400]",279,4.65,"(17340, 17400]",275,4.583333333333333
290,"(17400, 17460]",145,2.4166666666666665,"(17400, 17460]",174,2.9
291,"(17460, 17520]",108,1.8,"(17460, 17520]",145,2.4166666666666665
292,"(17520, 17580]",87,1.45,"(17520, 17580]",168,2.8
293,"(17580, 17640]",90,1.5,"(17580, 17640]",118,1.9666666666666666
294,"(17640, 17700]",68,1.1333333333333333,"(17640, 17700]",81,1.35
