,range2,count2,Frequency2
0,"(0, 60]",274,4.566666666666666
1,"(60, 120]",157,2.6166666666666667
2,"(120, 180]",17,0.2833333333333333
3,"(180, 240]",26,0.43333333333333335
4,"(240, 300]",0,0.0
5,"(300, 360]",1,0.016666666666666666
6,"(360, 420]",17,0.2833333333333333
7,"(420, 480]",8,0.13333333333333333
8,"(480, 540]",10,0.16666666666666666
9,"(540, 600]",4,0.06666666666666667
10,"(600, 660]",8,0.13333333333333333
11,"(660, 720]",1,0.016666666666666666
12,"(720, 780]",15,0.25
13,"(780, 840]",6,0.1
14,"(840, 900]",255,4.25
15,"(900, 960]",103,1.7166666666666666
16,"(960, 1020]",267,4.45
17,"(1020, 1080]",166,2.7666666666666666
18,"(1080, 1140]",54,0.9
19,"(1140, 1200]",73,1.2166666666666666
20,"(1200, 1260]",22,0.36666666666666664
21,"(1260, 1320]",158,2.6333333333333333
22,"(1320, 1380]",34,0.5666666666666667
23,"(1380, 1440]",0,0.0
24,"(1440, 1500]",0,0.0
25,"(1500, 1560]",39,0.65
26,"(1560, 1620]",16,0.26666666666666666
27,"(1620, 1680]",79,1.3166666666666667
28,"(1680, 1740]",125,2.0833333333333335
29,"(1740, 1800]",65,1.0833333333333333
30,"(1800, 1860]",380,6.333333333333333
31,"(1860, 1920]",442,7.366666666666666
32,"(1920, 1980]",234,3.9
33,"(1980, 2040]",481,8.016666666666667
34,"(2040, 2100]",523,8.716666666666667
35,"(2100, 2160]",1976,32.93333333333333
36,"(2160, 2220]",1311,21.85
37,"(2220, 2280]",259,4.316666666666666
38,"(2280, 2340]",186,3.1
39,"(2340, 2400]",430,7.166666666666667
40,"(2400, 2460]",49,0.8166666666666667
41,"(2460, 2520]",30,0.5
42,"(2520, 2580]",41,0.6833333333333333
43,"(2580, 2640]",101,1.6833333333333333
44,"(2640, 2700]",130,2.1666666666666665
45,"(2700, 2760]",626,10.433333333333334
46,"(2760, 2820]",778,12.966666666666667
47,"(2820, 2880]",1152,19.2
48,"(2880, 2940]",1378,22.966666666666665
49,"(2940, 3000]",810,13.5
50,"(3000, 3060]",460,7.666666666666667
51,"(3060, 3120]",556,9.266666666666667
52,"(3120, 3180]",348,5.8
53,"(3180, 3240]",16,0.26666666666666666
54,"(3240, 3300]",190,3.1666666666666665
55,"(3300, 3360]",527,8.783333333333333
56,"(3360, 3420]",60,1.0
57,"(3420, 3480]",408,6.8
58,"(3480, 3540]",2,0.03333333333333333
59,"(3540, 3600]",0,0.0
60,"(3600, 3660]",11,0.18333333333333332
61,"(3660, 3720]",2,0.03333333333333333
62,"(3720, 3780]",31,0.5166666666666667
63,"(3780, 3840]",0,0.0
64,"(3840, 3900]",223,3.716666666666667
65,"(3900, 3960]",386,6.433333333333334
66,"(3960, 4020]",1425,23.75
67,"(4020, 4080]",538,8.966666666666667
68,"(4080, 4140]",1270,21.166666666666668
69,"(4140, 4200]",860,14.333333333333334
70,"(4200, 4260]",76,1.2666666666666666
71,"(4260, 4320]",572,9.533333333333333
72,"(4320, 4380]",252,4.2
73,"(4380, 4440]",49,0.8166666666666667
74,"(4440, 4500]",916,15.266666666666667
75,"(4500, 4560]",7,0.11666666666666667
76,"(4560, 4620]",16,0.26666666666666666
77,"(4620, 4680]",117,1.95
78,"(4680, 4740]",201,3.35
79,"(4740, 4800]",93,1.55
80,"(4800, 4860]",16,0.26666666666666666
81,"(4860, 4920]",96,1.6
82,"(4920, 4980]",1035,17.25
83,"(4980, 5040]",8,0.13333333333333333
84,"(5040, 5100]",7,0.11666666666666667
85,"(5100, 5160]",4,0.06666666666666667
86,"(5160, 5220]",6,0.1
87,"(5220, 5280]",5,0.08333333333333333
88,"(5280, 5340]",0,0.0
89,"(5340, 5400]",1,0.016666666666666666
90,"(5400, 5460]",7,0.11666666666666667
91,"(5460, 5520]",0,0.0
92,"(5520, 5580]",427,7.116666666666666
93,"(5580, 5640]",483,8.05
94,"(5640, 5700]",127,2.1166666666666667
95,"(5700, 5760]",40,0.6666666666666666
96,"(5760, 5820]",56,0.9333333333333333
97,"(5820, 5880]",57,0.95
98,"(5880, 5940]",132,2.2
99,"(5940, 6000]",14,0.23333333333333334
100,"(6000, 6060]",938,15.633333333333333
101,"(6060, 6120]",846,14.1
102,"(6120, 6180]",114,1.9
103,"(6180, 6240]",1201,20.016666666666666
104,"(6240, 6300]",986,16.433333333333334
105,"(6300, 6360]",768,12.8
106,"(6360, 6420]",211,3.5166666666666666
107,"(6420, 6480]",5,0.08333333333333333
108,"(6480, 6540]",122,2.033333333333333
109,"(6540, 6600]",235,3.9166666666666665
110,"(6600, 6660]",239,3.9833333333333334
111,"(6660, 6720]",2853,47.55
112,"(6720, 6780]",1251,20.85
113,"(6780, 6840]",222,3.7
114,"(6840, 6900]",145,2.4166666666666665
115,"(6900, 6960]",221,3.683333333333333
116,"(6960, 7020]",398,6.633333333333334
117,"(7020, 7080]",614,10.233333333333333
118,"(7080, 7140]",564,9.4
119,"(7140, 7200]",249,4.15
120,"(7200, 7260]",422,7.033333333333333
121,"(7260, 7320]",580,9.666666666666666
122,"(7320, 7380]",554,9.233333333333333
123,"(7380, 7440]",313,5.216666666666667
124,"(7440, 7500]",593,9.883333333333333
125,"(7500, 7560]",337,5.616666666666666
126,"(7560, 7620]",406,6.766666666666667
127,"(7620, 7680]",487,8.116666666666667
128,"(7680, 7740]",470,7.833333333333333
129,"(7740, 7800]",209,3.4833333333333334
130,"(7800, 7860]",305,5.083333333333333
131,"(7860, 7920]",393,6.55
132,"(7920, 7980]",375,6.25
133,"(7980, 8040]",431,7.183333333333334
134,"(8040, 8100]",502,8.366666666666667
135,"(8100, 8160]",319,5.316666666666666
136,"(8160, 8220]",758,12.633333333333333
137,"(8220, 8280]",441,7.35
138,"(8280, 8340]",26,0.43333333333333335
139,"(8340, 8400]",90,1.5
140,"(8400, 8460]",264,4.4
141,"(8460, 8520]",94,1.5666666666666667
142,"(8520, 8580]",337,5.616666666666666
143,"(8580, 8640]",99,1.65
144,"(8640, 8700]",1151,19.183333333333334
145,"(8700, 8760]",1958,32.63333333333333
146,"(8760, 8820]",65,1.0833333333333333
147,"(8820, 8880]",41,0.6833333333333333
148,"(8880, 8940]",601,10.016666666666667
149,"(8940, 9000]",758,12.633333333333333
150,"(9000, 9060]",32,0.5333333333333333
151,"(9060, 9120]",382,6.366666666666666
152,"(9120, 9180]",611,10.183333333333334
153,"(9180, 9240]",724,12.066666666666666
154,"(9240, 9300]",73,1.2166666666666666
155,"(9300, 9360]",787,13.116666666666667
156,"(9360, 9420]",85,1.4166666666666667
157,"(9420, 9480]",40,0.6666666666666666
158,"(9480, 9540]",1,0.016666666666666666
159,"(9540, 9600]",89,1.4833333333333334
160,"(9600, 9660]",412,6.866666666666666
161,"(9660, 9720]",546,9.1
162,"(9720, 9780]",172,2.8666666666666667
163,"(9780, 9840]",480,8.0
164,"(9840, 9900]",143,2.3833333333333333
165,"(9900, 9960]",7,0.11666666666666667
166,"(9960, 10020]",228,3.8
167,"(10020, 10080]",37,0.6166666666666667
168,"(10080, 10140]",29,0.48333333333333334
169,"(10140, 10200]",195,3.25
170,"(10200, 10260]",291,4.85
171,"(10260, 10320]",3,0.05
172,"(10320, 10380]",4,0.06666666666666667
173,"(10380, 10440]",22,0.36666666666666664
174,"(10440, 10500]",13,0.21666666666666667
175,"(10500, 10560]",1,0.016666666666666666
176,"(10560, 10620]",7,0.11666666666666667
177,"(10620, 10680]",6,0.1
178,"(10680, 10740]",13,0.21666666666666667
179,"(10740, 10800]",24,0.4
180,"(10800, 10860]",128,2.1333333333333333
181,"(10860, 10920]",1257,20.95
182,"(10920, 10980]",107,1.7833333333333334
183,"(10980, 11040]",60,1.0
184,"(11040, 11100]",11,0.18333333333333332
185,"(11100, 11160]",91,1.5166666666666666
186,"(11160, 11220]",303,5.05
187,"(11220, 11280]",239,3.9833333333333334
188,"(11280, 11340]",91,1.5166666666666666
189,"(11340, 11400]",19,0.31666666666666665
190,"(11400, 11460]",546,9.1
191,"(11460, 11520]",227,3.783333333333333
192,"(11520, 11580]",55,0.9166666666666666
193,"(11580, 11640]",557,9.283333333333333
194,"(11640, 11700]",198,3.3
195,"(11700, 11760]",23,0.38333333333333336
196,"(11760, 11820]",72,1.2
197,"(11820, 11880]",313,5.216666666666667
198,"(11880, 11940]",329,5.483333333333333
199,"(11940, 12000]",16,0.26666666666666666
200,"(12000, 12060]",228,3.8
201,"(12060, 12120]",728,12.133333333333333
202,"(12120, 12180]",49,0.8166666666666667
203,"(12180, 12240]",638,10.633333333333333
204,"(12240, 12300]",55,0.9166666666666666
205,"(12300, 12360]",147,2.45
206,"(12360, 12420]",84,1.4
207,"(12420, 12480]",25,0.4166666666666667
208,"(12480, 12540]",388,6.466666666666667
209,"(12540, 12600]",562,9.366666666666667
210,"(12600, 12660]",516,8.6
211,"(12660, 12720]",417,6.95
212,"(12720, 12780]",1440,24.0
213,"(12780, 12840]",881,14.683333333333334
214,"(12840, 12900]",611,10.183333333333334
215,"(12900, 12960]",418,6.966666666666667
216,"(12960, 13020]",451,7.516666666666667
217,"(13020, 13080]",178,2.966666666666667
218,"(13080, 13140]",114,1.9
219,"(13140, 13200]",454,7.566666666666666
220,"(13200, 13260]",528,8.8
221,"(13260, 13320]",515,8.583333333333334
222,"(13320, 13380]",460,7.666666666666667
223,"(13380, 13440]",14,0.23333333333333334
224,"(13440, 13500]",58,0.9666666666666667
225,"(13500, 13560]",68,1.1333333333333333
226,"(13560, 13620]",81,1.35
227,"(13620, 13680]",40,0.6666666666666666
228,"(13680, 13740]",2,0.03333333333333333
229,"(13740, 13800]",2,0.03333333333333333
230,"(13800, 13860]",379,6.316666666666666
231,"(13860, 13920]",847,14.116666666666667
232,"(13920, 13980]",432,7.2
233,"(13980, 14040]",439,7.316666666666666
234,"(14040, 14100]",435,7.25
235,"(14100, 14160]",315,5.25
236,"(14160, 14220]",211,3.5166666666666666
237,"(14220, 14280]",328,5.466666666666667
238,"(14280, 14340]",12,0.2
239,"(14340, 14400]",20,0.3333333333333333
240,"(14400, 14460]",390,6.5
241,"(14460, 14520]",109,1.8166666666666667
242,"(14520, 14580]",175,2.9166666666666665
243,"(14580, 14640]",221,3.683333333333333
244,"(14640, 14700]",227,3.783333333333333
245,"(14700, 14760]",120,2.0
246,"(14760, 14820]",202,3.3666666666666667
247,"(14820, 14880]",272,4.533333333333333
248,"(14880, 14940]",551,9.183333333333334
249,"(14940, 15000]",120,2.0
250,"(15000, 15060]",36,0.6
251,"(15060, 15120]",16,0.26666666666666666
252,"(15120, 15180]",201,3.35
253,"(15180, 15240]",168,2.8
254,"(15240, 15300]",1141,19.016666666666666
255,"(15300, 15360]",48,0.8
256,"(15360, 15420]",580,9.666666666666666
257,"(15420, 15480]",504,8.4
258,"(15480, 15540]",649,10.816666666666666
259,"(15540, 15600]",375,6.25
260,"(15600, 15660]",582,9.7
261,"(15660, 15720]",501,8.35
262,"(15720, 15780]",752,12.533333333333333
263,"(15780, 15840]",236,3.933333333333333
264,"(15840, 15900]",252,4.2
265,"(15900, 15960]",483,8.05
266,"(15960, 16020]",456,7.6
267,"(16020, 16080]",688,11.466666666666667
268,"(16080, 16140]",729,12.15
269,"(16140, 16200]",1005,16.75
270,"(16200, 16260]",364,6.066666666666666
271,"(16260, 16320]",386,6.433333333333334
272,"(16320, 16380]",87,1.45
273,"(16380, 16440]",67,1.1166666666666667
274,"(16440, 16500]",83,1.3833333333333333
275,"(16500, 16560]",70,1.1666666666666667
276,"(16560, 16620]",222,3.7
277,"(16620, 16680]",562,9.366666666666667
278,"(16680, 16740]",88,1.4666666666666666
279,"(16740, 16800]",8,0.13333333333333333
280,"(16800, 16860]",0,0.0
281,"(16860, 16920]",8,0.13333333333333333
282,"(16920, 16980]",22,0.36666666666666664
283,"(16980, 17040]",58,0.9666666666666667
284,"(17040, 17100]",36,0.6
285,"(17100, 17160]",17,0.2833333333333333
286,"(17160, 17220]",10,0.16666666666666666
287,"(17220, 17280]",1,0.016666666666666666
288,"(17280, 17340]",89,1.4833333333333334
289,"(17340, 17400]",227,3.783333333333333
290,"(17400, 17460]",187,3.1166666666666667
291,"(17460, 17520]",6,0.1
292,"(17520, 17580]",0,0.0
293,"(17580, 17640]",16,0.26666666666666666
294,"(17640, 17700]",50,0.8333333333333334
295,"(17700, 17760]",299,4.983333333333333
296,"(17760, 17820]",312,5.2
